0,1,2
ﺮﻘﻣ ﻼﺼﻔﺣﺓ,ﻼﻤﻠﺤﻗ ﺮﻘﻣ )١/ﺃ(,
1,ﺝﺩﻮﻟ ﺮﻘﻣ )1( ﺐﺷﺄﻧ ﺩﺮﺟﺓ ﻻﺮﺌﻴﺳ,١
1,ﺝﺩﻮﻟ ﺮﻘﻣ )2( ﺐﺷﺄﻧ ﺩﺮﺟﺎﺗ ﻼﻣﺪﻳﺭ ﻼﻋﺎﻣ ﻭ ﻼﻣﺪﻳﺭ,٢
2,ﺝﺩﻮﻟ ﺮﻘﻣ )3( ﺐﺷﺎﻧ ﻻﺩﺮﺟﺎﺗ ﻭﻻﻮﻇﺎﺌﻓ ﻼﻋﺎﻣﺓ ﻞﻠﻣﻭﺎﻄﻨﻴﻧ,3
3,"ﺝﺩﻮﻟ ﺮﻘﻣ )4( ﺐﺷﺄﻧ ﻼﻣﺆﻫﻼﺗ ﻼﻌﻠﻤﻳﺓ ﻭﻼﺨﺑﺭﺎﺗ ﻼﻌﻤﻠﻳﺓ ﻞﺸﻐﻟ ﻻﻮﻇﺎﺌﻓ ﻼﻋﺎﻣﺓ
ﻞﻠﻣﻭﺎﻄﻨﻴﻧ",4
4,ﺝﺩﻮﻟ ﺮﻘﻣ )5( ﺐﺷﺄﻧ ﻻﺩﺮﺟﺎﺗ ﻭﻻﻮﻇﺎﺌﻓ ﻼﻋﺎﻣﺓ ﻞﻐﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ,٥
5,"ﺝﺩﻮﻟ ﺮﻘﻣ )6( ﺐﺷﺄﻧ ﻼﻣﺆﻫﻼﺗ ﻼﻌﻠﻤﻳﺓ ﻭﻼﺨﺑﺭﺎﺗ ﻼﻌﻤﻠﻳﺓ ﻼﻤﻄﻟﻮﺑﺓ ﻞﺘﻌﻴﻴﻧ ﻎﻳﺭ
ﻼﻣﻭﺎﻄﻨﻴﻧ",٦
6,ﺝﺩﻮﻟ ﺮﻘﻣ )7( ﺐﺷﺄﻧ ﺩﺮﺟﺎﺗ ﻮﻇﺎﺌﻓ ﻼﻤﻬﻧﺪﺴﻴﻧ,7
7,"ﺝﺩﻮﻟ ﺮﻘﻣ ) 8 ( ﺐﺷﺄﻧ ﻼﻣﺆﻫﻼﺗ ﻼﻌﻠﻤﻳﺓ ﻭﻼﺨﺑﺭﺎﺗ ﻼﻌﻤﻠﻳﺓ ﻞﻠﺘﻌﻴﻴﻧ ﻊﻠﯨ ﻦﻇﺎﻣ
ﻮﻇﺎﺌﻓ ﻼﻤﻬﻧﺪﺴﻴﻧ ",8
8,"ﺝﺩﻮﻟ ﺮﻘﻣ )9( ﺐﺷﺄﻧ ﺩﺮﺟﺎﺗ ﻭﺭﻭﺎﺘﺑ ﺍﻸﺌﻣﺓ ﻭﻼﻣﺅﺬﻨﻴﻧ ) ﻼﻣﻭﺎﻄﻨﻴﻧ (  ﻼﻋﺎﻤﻠﻴﻧ
ﻊﻠﯨ ﻼﻣﻼﻛ ﻼﻤﺤﻠﻳ ﺐﺤﻛﻮﻣﺓ ﻼﺷﺍﺮﻗﺓ",9
8,"ﺝﺩﻮﻟ ﺮﻘﻣ )10( ﺐﺷﺄﻧ ﺩﺮﺟﺎﺗ ﻭﺭﻭﺎﺘﺑ ﺍﻸﺌﻣﺓ ﻭﻼﻣﺅﺬﻨﻴﻧ ) ﻎﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ ( ﻼﻋﺎﻤﻠﻴﻧ
ﻊﻠﯨ ﻼﻣﻼﻛ ﻼﻤﺤﻠﻳ ﺐﺤﻛﻮﻣﺓ ﻼﺷﺍﺮﻗﺓ",١٠
