0,1,2
ﺮﻘﻣ ﻼﺼﻔﺣﺓ,ﻼﻤﻠﺤﻗ ﺮﻘﻣ )١/ﺏ(,ﻻﺮﻘﻣ
36,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )1( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ ﻡﻭﺎﻄﻧ,١
39,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )2( ﺐﺷﺄﻧ ﺖﻨﻈﻴﻣ ﻉﻼﻗﺓ ﻮﻈﻴﻔﻳﺓ ﻕﺎﺌﻣﺓ ﻢﻋ ﻡﻭﺎﻄﻧ,٢
42,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﻢﺤﻠﻳ )ﺃ( ﺮﻘﻣ )3( ﻞﻐﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ,"3
4
٥"
45,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﻢﺤﻠﻳ )ﺏ( ﺮﻘﻣ )4( ﻞﻐﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ,
48,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )5( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ )ﻢﻬﻧﺪﺴﻴﻧ(,
51,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )6( ﺐﺷﺄﻧ ﺖﻨﻈﻴﻣ ﻉﻼﻗﺓ ﻮﻈﻴﻔﻳﺓ ﻕﺎﺌﻣﺓ ﻢﻋ ﻢﻬﻧﺪﺳ ﻡﻭﺎﻄﻧ,"٦
7
8
9
١٠
١١"
45,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )7( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ )ﺍﻸﺌﻣﺓ ﻭﻼﻣﺅﺬﻨﻴﻧ ﻼﻣﻭﺎﻄﻨﻴﻧ(,
57,"ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )8( ﺐﺷﺄﻧ ﺖﻨﻈﻴﻣ ﻉﻼﻗﺓ ﻮﻈﻴﻔﻳﺓ ﻕﺎﺌﻣﺓ ﻢﻋ ﺄﻣﺎﻣ ﺃﻭ ﻡﺅﺬﻧ
ﻡﻭﺎﻄﻧ ",
60,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )9( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ )ﺍﻸﺌﻣﺓ ﻭﻼﻣﺅﺬﻨﻴﻧ ﻎﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ(,
63,"ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )10( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ )ﺍﻸﻄﺑﺍﺀ ﻭﻼﺼﻳﺍﺪﻟﺓ ﻮﻔﻨﻴﻳ ﻼﻄﺑ
ﻼﻣﻭﺎﻄﻨﻴﻧ( ",
66,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )11( ﺐﺷﺄﻧ ﺖﻨﻈﻴﻣ ﻉﻼﻗﺓ ﻮﻈﻴﻔﻳﺓ ﻕﺎﺌﻣﺓ ﻢﻋ ﻡﻭﺎﻄﻧ,
69,"ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )12( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ )ﺍﻸﻄﺑﺍﺀ ﻭﻼﺼﻳﺍﺪﻟﺓ ﻮﻔﻨﻴﻳ ﻼﻄﺑ ﻎﻳﺭ
ﻼﻣﻭﺎﻄﻨﻴﻧ( ",١٢
72,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )13( ﺐﺷﺄﻧ ﻦﻇﺎﻣ ﻼﻌﻗﺩ ﻼﺧﺎﺻ ) ﺃ ( ﻡﻭﺎﻄﻨﻴﻧ,١3
74,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )14( ﺐﺷﺄﻧ ﻦﻇﺎﻣ ﻼﻌﻗﺩ ﻼﺧﺎﺻ ) ﺏ ( ﻎﻳﺭ ﻡﻭﺎﻄﻨﻴﻧ,"١4
١٥
١٦
١7
١8"
76,"ﻦﻣﻭﺬﺟ ﻼﻌﻗﺩ ﺮﻘﻣ )15( ﺐﺷﺄﻧ ﺎﺴﺘﺧﺩﺎﻣ ﻎﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ ﻼﻋﺎﻤﻠﻴﻧ ﺐﻨﻇﺎﻣ ﻼﻤﻛﺎﻓﺃﺓ
ﻼﺸﻫﺮﻳﺓ ",
78,ﻦﻣﻭﺬﺟ ﻼﻌﻗﺩ ﺮﻘﻣ )16( ﺐﺷﺄﻧ ﻼﺘﻌﻴﻴﻧ ﺐﻌﻗﺩ ﻡﺆﻘﺗ ) ﺃ (,
80,ﻦﻣﻭﺬﺟ ﻼﻌﻗﺩ ﺮﻘﻣ )17( ﺐﺷﺄﻧ ﻼﺘﻌﻴﻴﻧ ﺐﻌﻗﺩ ﻡﺆﻘﺗ )ﺏ(,
82,ﻦﻣﻭﺬﺟ ﻼﻌﻗﺩ ﺮﻘﻣ )18( ﺐﺷﺄﻧ ﻼﺘﻌﻴﻴﻧ ﺐﻌﻗﺩ ﻡﺆﻘﺗ )ﺏ( ﺥﺎﺻ ﺏﻼﻤﺘﻗﺎﻋﺪﻴﻧ,
